date,open,high,low,close
2018-06-05-21:00,7181.1,7214.6,7142.6,7213.7
2018-06-06-21:00,7215.7,7233.9,7116.6,7152.6
2018-06-07-21:00,7156.9,7163.1,7078.2,7152.6
2018-06-10-22:00,7135.4,7190.5,7129.8,7171.8
2018-06-11-21:00,7169.3,7219.2,7157.9,7213.3
2018-06-12-21:00,7214.9,7267.1,7196.4,7209.2
2018-06-13-21:00,7211.2,7297.4,7181.8,7286.4
2018-06-14-21:00,7280.9,7294.9,7221.7,7257.4
2018-06-17-22:00,7261.3,7267.1,7186.6,7252.4
2018-06-18-21:00,7250.9,7256.1,7135.4,7230.2
2018-06-19-21:00,7229.4,7313.9,7204.6,7283.6
2018-06-20-21:00,7295.2,7335.5,7204.3,7218.7
2018-06-21-21:00,7201,7252.4,7177.1,7195.7
2018-06-24-22:00,7197.1,7202.3,6975.3,7038.5
2018-06-25-21:00,7051.1,7110.9,7020.8,7070.7
2018-06-26-21:00,7082.8,7132.7,6969.2,6970.3
2018-06-27-21:00,6977,7057.4,6937.4,7034.8
2018-06-28-21:00,7044.2,7105,7027,7043.8
2018-07-01-22:00,7058.6,7100.9,6969.7,7100.4
2018-07-02-21:00,7093.3,7147.3,7005,7005.5
2018-07-03-21:00,7011.9,7035.7,7005.4,7025.5
2018-07-04-21:00,7020.1,7108.8,6998.9,7102.8
2018-07-05-21:00,7097.1,7220.2,7083.7,7210.2
2018-07-08-22:00,7219.3,7280.7,7216.5,7279.2
2018-07-09-21:00,7281.7,7318.5,7259.1,7284.4
2018-07-10-21:00,7252.1,7273.5,7188.3,7244.7
2018-07-11-21:00,7240.6,7370.5,7233,7368.5
2018-07-12-21:00,7365.1,7398.1,7351.3,7376.8
2018-07-15-22:00,7386.6,7398.2,7348.4,7361.1
2018-07-16-21:00,7302.3,7420,7277.7,7405.6
2018-07-17-21:00,7410.4,7421.8,7365.1,7388.6
2018-07-18-21:00,7385.3,7400.2,7341.4,7351.3
2018-07-19-21:00,7367,7397.9,7334.9,7346.8
2018-07-22-22:00,7358.3,7375.2,7296.4,7367.7
2018-07-23-21:00,7403.6,7474.6,7371.4,7401.6
2018-07-24-21:00,7396.6,7512.5,7382.2,7508
2018-07-25-21:00,7393.3,7428.9,7379.4,7395.9
2018-07-26-21:00,7420.6,7454.8,7251.5,7293.5
2018-07-29-22:00,7286.3,7298.9,7156.2,7202.1
2018-07-30-21:00,7199.6,7273.4,7179,7234.4
2018-07-31-21:00,7282.1,7294.1,7232.6,7271.5
2018-08-01-21:00,7280.6,7380.3,7204.8,7374.6
2018-08-02-21:00,7378.6,7405.1,7352.5,7391.3
2018-08-05-22:00,7402.2,7438.3,7377.8,7436.8
2018-08-06-21:00,7432.6,7477.1,7430.6,7462.1
2018-08-07-21:00,7464.6,7486.1,7433,7468.1
2018-08-08-21:00,7455.2,7496.3,7449.8,7465.4
2018-08-09-21:00,7457.8,7460.7,7379.5,7407.7
2018-08-12-22:00,7402.6,7468.7,7368.1,7400.5
2018-08-13-21:00,7410,7454.9,7387.3,7446.5
2018-08-14-21:00,7451.3,7453.7,7306.1,7356.6
2018-08-15-21:00,7367.6,7423.1,7352.4,7374.6
2018-08-16-21:00,7369.3,7395.8,7310.8,7378.2
2018-08-19-22:00,7383.5,7410.4,7341.4,7370.2
2018-08-20-21:00,7368.1,7442.2,7358.9,7397.2
2018-08-21-21:00,7364.9,7434.4,7341.8,7425.4
2018-08-22-21:00,7424.9,7464.9,7401.3,7413.1
2018-08-23-21:00,7415.4,7489.8,7410.7,7483.3
2018-08-26-22:00,7490.5,7559.5,7490.5,7558.8
2018-08-27-21:00,7565.8,7589.2,7556.4,7571.4
2018-08-28-21:00,7574.2,7664.1,7573.6,7659.1
2018-08-29-21:00,7664.2,7689.2,7617.5,7644.7
2018-08-30-21:00,7634.8,7674.9,7626.1,7652.6
2018-09-02-22:00,7665.3,7680.8,7652.5,7674.9
2018-09-03-21:00,7672.1,7686.9,7581,7623.7
2018-09-04-21:00,7632.6,7638.2,7498.3,7531.6
2018-09-05-21:00,7525.7,7538.9,7402.5,7449.1
2018-09-06-21:00,7448,7489.4,7388.3,7428.8
2018-09-09-22:00,7429.6,7480.1,7410.7,7456.4
2018-09-10-21:00,7457.6,7521.1,7401.1,7509.9
2018-09-11-21:00,7514.4,7538.1,7422.2,7479.3
2018-09-12-21:00,7476.3,7579.5,7466.7,7562.5
2018-09-13-21:00,7559.1,7595.7,7509.9,7541.6
2018-09-16-22:00,7533.6,7546.8,7429.7,7435.6
2018-09-17-21:00,7435.1,7536.1,7394.4,7500.9
2018-09-18-21:00,7503.1,7517.9,7443.1,7501.3
2018-09-19-21:00,7501.2,7589.4,7486.4,7585.9
2018-09-20-21:00,7574.8,7610.4,7520.5,7520.9
2018-09-23-22:00,7506.7,7569.1,7449,7566.6
2018-09-24-21:00,7567.3,7578.9,7526.2,7573.6
2018-09-25-21:00,7574,7643.5,7553,7566.1
2018-09-26-21:00,7566.1,7662,7561.7,7640.1
2018-09-27-21:00,7640,7652.8,7593.3,7643.8
2018-09-30-22:00,7655.3,7706.3,7629.6,7651.9
2018-10-01-21:00,7649.3,7690.2,7607.8,7635.5
2018-10-02-21:00,7634.1,7681.7,7619.7,7629.4
2018-10-03-21:00,7620.1,7625.9,7434.1,7501
2018-10-04-21:00,7497.7,7518.2,7325.1,7416.7
2018-10-07-22:00,7430.7,7432.7,7266.7,7372.1
2018-10-08-21:00,7371.3,7436.2,7317.8,7375.5
2018-10-09-21:00,7375.3,7393.3,6981,6985.1
2018-10-10-21:00,6997.4,7123.1,6893.3,7027.2
2018-10-11-21:00,7028.4,7182.2,7018.9,7168.3
2018-10-14-22:00,7150.4,7157.3,7043.9,7055.8
2018-10-15-21:00,7058.8,7344.2,7046,7327.8
2018-10-16-21:00,7323.2,7354.7,7208.4,7302.1
2018-10-17-21:00,7290.8,7293.6,7081.3,7142.1
2018-10-18-21:00,7139.9,7231.5,7080.7,7092.3
2018-10-21-22:00,7073.5,7199.1,7045.9,7146.7
2018-10-22-21:00,7142.6,7153,6933.4,7129.9
2018-10-23-21:00,7126.9,7163.5,6775.4,6865.5
2018-10-24-21:00,6861.4,7065.9,6807,6880.2
2018-10-25-21:00,6865.6,6976.9,6725.2,6859.1
2018-10-28-22:00,6886.3,6983.6,6572.7,6713.4
2018-10-29-21:00,6709.8,6841.1,6652.7,6835.1
2018-10-30-21:00,6844.3,7030.5,6808.4,6950.7
2018-10-31-21:00,6954.1,7071.8,6928.5,7021.4
2018-11-01-21:00,6977.1,7135.3,6904.7,6968.4
2018-11-04-23:00,6966.3,6992.6,6859.2,6943.4
2018-11-05-22:00,6935.8,7027.9,6900.4,7007.2
2018-11-06-22:00,7004.1,7218.2,6965.3,7213.4
2018-11-07-22:00,7203.1,7221,7122.6,7140.2
2018-11-08-22:00,7135.5,7156.8,6979.8,7027.5
2018-11-11-23:00,7021.6,7095.7,6818.1,6832.7
2018-11-12-22:00,6837.5,6954.5,6794.3,6848.9
2018-11-13-22:00,6845.5,6919.1,6736.6,6772.5
2018-11-14-22:00,6765.2,6910.2,6702,6878.3
2018-11-15-22:00,6860.5,6902.2,6796.5,6877.7
2018-11-18-23:00,6857.5,6925.9,6624.3,6666.6
2018-11-19-22:00,6658.7,6662.2,6442,6515.3
2018-11-20-22:00,6515.1,6640.6,6501.7,6569.6
2018-11-21-22:00,6576.5,6591.2,6500.1,6514.6
2018-11-22-22:00,6527.6,6595.2,6489.1,6524.5
2018-11-25-23:00,6528,6692,6525.9,6635
2018-11-26-22:00,6633.5,6718.5,6608.9,6713.6
2018-11-27-22:00,6721.7,6919.3,6705.3,6911.8
2018-11-28-22:00,6899.6,6939.8,6839.7,6902.6
2018-11-29-22:00,6898.1,6948.8,6868.3,6947.3
2018-12-02-23:00,7067.3,7136.9,7013.7,7053.6
2018-12-03-22:00,7043.3,7053.1,6781.1,6800.6
2018-12-04-22:00,6795.1,6860.7,6791.5,6839.7
2018-12-05-22:00,6756.3,6850.7,6627.8,6839.2
2018-12-06-22:00,6835.6,6853.9,6593.2,6611.5
2018-12-09-23:00,6584.4,6714.3,6535.1,6693.4
2018-12-10-22:00,6694,6808.8,6651.2,6681.8
2018-12-11-22:00,6698.2,6872.1,6691.4,6765.4
2018-12-12-22:00,6769.7,6837.2,6722.4,6743.9
2018-12-13-22:00,6745.4,6760.3,6586.1,6605.3
2018-12-16-23:00,6582.7,6634.2,6400.8,6470.1
2018-12-17-22:00,6472.1,6555,6434.1,6438.6
2018-12-18-22:00,6445,6587.2,6299.7,6326.8
2018-12-19-22:00,6315.9,6382.6,6162.1,6299.6
2018-12-20-22:00,6298,6316.3,6008.7,6058.2
