dt,time,aligned_long,aligned_short,close_above_smma,close_below_smma,long_ok,short_ok,consec_long,consec_short,armed_long,armed_long_prev,armed_short,armed_short_prev,touch_long,touch_short,in_entry_window,long_entry_signal,short_entry_signal,
2025-11-11 19:32:00-05:00,19:32,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,
2025-11-11 19:33:00-05:00,19:33,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,
2025-11-11 19:34:00-05:00,19:34,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,2,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,
2025-11-11 19:35:00-05:00,19:35,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,
2025-11-11 19:36:00-05:00,19:36,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,
2025-11-11 19:37:00-05:00,19:37,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,2,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,
2025-11-11 19:38:00-05:00,19:38,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,3,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,
2025-11-11 19:39:00-05:00,19:39,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,4,0,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,
2025-11-11 19:40:00-05:00,19:40,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,
2025-11-11 19:41:00-05:00,19:41,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,
2025-11-11 19:42:00-05:00,19:42,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,
2025-11-11 19:43:00-05:00,19:43,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,2,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,
2025-11-11 19:44:00-05:00,19:44,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,
2025-11-11 19:45:00-05:00,19:45,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,1,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,
2025-11-11 19:46:00-05:00,19:46,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,2,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,
2025-11-11 19:47:00-05:00,19:47,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,3,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,
2025-11-11 19:48:00-05:00,19:48,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,4,0,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,
2025-11-11 19:49:00-05:00,19:49,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,5,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,
2025-11-11 19:50:00-05:00,19:50,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,
