date,side,entry_time,entry_price,exit_time,exit_price,sl,tp,exit_reason,pnl_points,r_multiple
11/14/23,LONG,2023-11-14 09:40:00-05:00,15765.688406625448,2023-11-14 09:58:00-05:00,15800.372921120024,15748.34614937816,15800.372921120024,TP,34.68451449457643,2
11/14/23,LONG,2023-11-14 10:35:00-05:00,15821.252725100174,2023-11-14 10:57:00-05:00,15803.849347102563,15803.849347102563,15856.059481095393,SL,-17.403378,-1
11/15/23,SHORT,2023-11-15 09:48:00-05:00,15868.930065156428,2023-11-15 10:25:00-05:00,15886.385888228102,15886.385888228102,15834.018419013084,SL,-17.45582307,-1
11/15/23,LONG,2023-11-15 10:27:00-05:00,15883.684387149426,2023-11-15 10:29:00-05:00,15866.212334323562,15866.212334323562,15918.628492801154,SL,-17.47205283,-1
11/15/23,LONG,2023-11-15 10:53:00-05:00,15894.329600969018,2023-11-15 11:05:00-05:00,15876.845838407953,15876.845838407953,15929.297126091149,SL,-17.48376256,-1
11/16/23,LONG,2023-11-16 09:59:00-05:00,15823.865960642766,2023-11-16 10:11:00-05:00,15806.45970808606,15806.45970808606,15858.67846575618,SL,-17.40625256,-1
11/16/23,SHORT,2023-11-16 10:40:00-05:00,15780.724182758102,2023-11-16 10:47:00-05:00,15798.082979359138,15798.082979359138,15746.006589556035,SL,-17.3587966,-1
11/17/23,SHORT,2023-11-17 09:30:00-05:00,15809.942535458724,2023-11-17 09:41:00-05:00,15775.160661880715,15827.33347224773,15775.160661880715,TP,34.781873578009254,2
11/17/23,SHORT,2023-11-17 10:48:00-05:00,15790.978236347457,2023-11-17 10:54:00-05:00,15808.348312407441,15808.348312407441,15756.238084227492,SL,-17.37007606,-1
11/20/23,SHORT,2023-11-20 09:30:00-05:00,15843.200663313919,2023-11-20 09:31:00-05:00,15860.628184043566,15860.628184043566,15808.345621854629,SL,-17.42752073,-1
11/20/23,LONG,2023-11-20 09:39:00-05:00,15911.004373805656,2023-11-20 09:47:00-05:00,15893.502268994469,15893.502268994469,15946.008583428027,SL,-17.50210481,-1
11/20/23,SHORT,2023-11-20 10:27:00-05:00,15895.069294097078,2023-11-20 10:42:00-05:00,15912.553870320588,15912.553870320588,15860.100141650066,SL,-17.48457622,-1
11/21/23,SHORT,2023-11-21 09:59:00-05:00,15940.577626766337,2023-11-21 10:21:00-05:00,15905.508355987451,15958.11226215578,15905.508355987451,TP,35.069270778885766,2
11/22/23,LONG,2023-11-22 09:39:00-05:00,16102.780097680867,2023-11-22 09:46:00-05:00,16085.067039573418,16085.067039573418,16138.206213895764,SL,-17.71305811,-1
11/22/23,SHORT,2023-11-22 10:05:00-05:00,15982.908962073974,2023-11-22 10:22:00-05:00,16000.490161932257,16000.490161932257,15947.746562357412,SL,-17.58119986,-1
11/22/23,LONG,2023-11-22 10:38:00-05:00,16039.776750239986,2023-11-22 10:46:00-05:00,16022.132995814722,16022.132995814722,16075.064259090514,SL,-17.64375443,-1
11/23/23,SHORT,2023-11-23 09:37:00-05:00,16010.424189293786,2023-11-23 15:30:00-05:00,16017.1,16028.035655902011,15975.20125607734,EOD,-6.675810706,-0.379060464
11/24/23,SHORT,2023-11-24 09:30:00-05:00,15979.637009358512,2023-11-24 09:33:00-05:00,15997.214610068808,15997.214610068808,15944.481807937924,SL,-17.57760071,-1
11/24/23,SHORT,2023-11-24 10:16:00-05:00,15962.805317790067,2023-11-24 11:56:00-05:00,15980.364403639638,15980.364403639638,15927.68714609093,SL,-17.55908585,-1
11/27/23,LONG,2023-11-27 10:04:00-05:00,15971.79247484653,2023-11-27 10:10:00-05:00,16006.930418291193,15954.2235,16006.930418291193,TP,35.13794344,2
11/27/23,LONG,2023-11-27 10:37:00-05:00,15994.257339441161,2023-11-27 11:05:00-05:00,15976.663656367777,15976.663656367777,16029.444705587932,SL,-17.59368307,-1
11/28/23,SHORT,2023-11-28 09:57:00-05:00,15926.380369936378,2023-11-28 10:03:00-05:00,15943.89938834331,15943.89938834331,15891.342333122519,SL,-17.51901841,-1
11/28/23,LONG,2023-11-28 10:17:00-05:00,15944.866099112909,2023-11-28 10:40:00-05:00,15979.944804530956,15927.326746403885,15979.944804530956,TP,35.07870541804732,2
11/29/23,LONG,2023-11-29 09:39:00-05:00,16152.950143000882,2023-11-29 10:03:00-05:00,16135.181897843582,16135.181897843582,16188.486633315484,SL,-17.76824516,-1
11/29/23,SHORT,2023-11-29 10:12:00-05:00,16084.570991532093,2023-11-29 10:23:00-05:00,16049.184935350722,16102.26401962278,16049.184935350722,TP,35.386056181370805,2
